# 1.0 2.0 3.0 4.0  
26.565 7.70 5.39 4.81 4.46  
45     4.084 2.86 2.61 2.43 
#45     4.03 2.62 2.28 2.14 
63.435 2.48 1.68 1.46 1.36  
90     1.224 0.783 0.670 0.624 
116.565 0.540 0.370 0.341 0.319 
135    0.2652 0.184 0.162 0.150 
153.435 0.080978184228 0.0551375346423 0.0530872093163 0.0507856309079  

